remakes_title,remakes_year,originals_title,originals_year,remakes_yearsBetween,key,remakes_shortTitle,remakes_key,originals_shortTitle,originals_key
The Muppet Christmas Carol (1992) dir. Brian Henson,1992,Scrooge (1935) dir. Henry Edwards,1935,64,The Muppet Christmas Carol (1992) dir. Brian Henson,The Muppet Christmas Carol,The Muppet Christmas Carol (1992),Scrooge ,Scrooge (1935)
12 Angry Men (1997) dir. William Friedkin,1997,Twelve Angry Men (1954) dir. Franklin Schaffner,1954,43,12 Angry Men (1997) dir. William Friedkin (1997),12 Angry Men ,12 Angry Men (1997),Twelve Angry Men ,Twelve Angry Men (1954)
12 Angry Men (1957) dir. Sidney Lumet,1957,Twelve Angry Men (1954) dir. Franklin Schaffner,1954,3,12 Angry Men (1957) dir. Sidney Lumet (1957),12 Angry Men ,12 Angry Men (1957),Twelve Angry Men ,Twelve Angry Men (1954)
13 (2010) dir. G’©la Babluani,2010,13 Tzameti (2005) dir. G’©la Babluani,2005,5,13 (2010) dir. G’©la Babluani (2010),13,13 (2010),13 Tzameti ,13 Tzameti (2005)
13 Assassins (2011) dir. Takashi Miike,2011,J¥Ë_¥Ë_san-nin no shikaku (1963) dir. Eiichi Kudo,1963,48,13 Assassins (2011) dir. Takashi Miike (2011),13 Assassins ,13 Assassins (2011),J¥Ë_¥Ë_san-nin no shikaku ,J¥Ë_¥Ë_san-nin no shikaku (1963)
The 13th Letter (1951) dir. Otto Preminger,1951,Le Corbeau (1943) dir. Henri-Georges Clouzot,1943,8,The 13th Letter (1951) dir. Otto Preminger (1951),The 13th Letter ,The 13th Letter (1951),Le Corbeau ,Le Corbeau (1943)
101 Dalmatians (1996) dir. Stephen Herek,1996,"One Hundred and One Dalmatians (1961) dir. Clyde GeronimiBased on the novel by Dodie Smith",1961,35,101 Dalmatians (1996) dir. Stephen Herek (1996),101 Dalmatians ,101 Dalmatians (1996),One Hundred and One Dalmatians ,One Hundred and One Dalmatians (1961)
2001 Maniacs (2005) dir. Tim Sullivan,2005,Two Thousand Maniacs! (1964) dir. Herschell Gordon Lewis,1964,41,2001 Maniacs (2005) dir. Tim Sullivan (2005),2001 Maniacs ,2001 Maniacs (2005),Two Thousand Maniacs! ,Two Thousand Maniacs! (1964)
Three Godfathers (1936) dir. Richard Boleslawski,1936,Hell's Heroes (1930) dir. William Wyler,1930,6,Three Godfathers (1936) dir. Richard Boleslawski (1936),Three Godfathers ,Three Godfathers (1936),Hell's Heroes ,Hell's Heroes (1930)
3 Godfathers (1948) dir. John Ford,1948,Hell's Heroes (1930) dir. William Wyler,1930,18,3 Godfathers (1948) dir. John Ford (1948),3 Godfathers ,3 Godfathers (1948),Hell's Heroes ,Hell's Heroes (1930)
3 Idiotas (2017) dir. Carlos Bolado,2017,3 Idiots (2009) dir. Rajkumar Hirani,2009,8,3 Idiotas (2017) dir. Carlos Bolado (2017),3 Idiotas ,3 Idiotas (2017),3 Idiots ,3 Idiots (2009)
3:10 to Yuma (2007) dir. James Mangold,2007,3:10 to Yuma (1957) dir. Delmer Daves,1957,50,3:10 to Yuma (2007) dir. James Mangold (2007),3:10 to Yuma ,3:10 to Yuma (2007),3:10 to Yuma ,3:10 to Yuma (1957)
Nineteen Eighty-Four (1984) dir. Michael Radford,1984,1984 (1956) dir. Michael AndersonNineteen Eighty-Four (1954) dir. Rudolph Cartier1984 (1953) dir. Paul Nickell,1956,28,Nineteen Eighty-Four (1984) dir. Michael Radford (1984),Nineteen Eighty-Four ,Nineteen Eighty-Four (1984),1984,1984 (1956)
A Southern Yankee (1948) dir. Edward Sedgwick,1948,The General (1926) dir. Buster Keaton & Clyde Bruckman,1926,22,A Southern Yankee (1948) dir. Edward Sedgwick (1948),A Southern Yankee ,A Southern Yankee (1948),The General ,The General (1926)
Adventures of Don Juan (1948) dir. Vincent Sherman,1948,Don Juan (1926) dir. Alan Crosland,1926,22,Adventures of Don Juan (1948) dir. Vincent Sherman (1948),Adventures of Don Juan ,Adventures of Don Juan (1948),Don Juan ,Don Juan (1926)
An Affair to Remember (1957) dir. Leo McCarey,1957,Love Affair (1939) dir. Leo McCarey,1939,18,An Affair to Remember (1957) dir. Leo McCarey (1957),An Affair to Remember ,An Affair to Remember (1957),Love Affair ,Love Affair (1939)
Against All Odds (1984) dir. Taylor Hackford,1984,Out of the Past (1947) dir. Jacques Tourneur,1947,37,Against All Odds (1984) dir. Taylor Hackford (1984),Against All Odds ,Against All Odds (1984),Out of the Past ,Out of the Past (1947)
