Title,year,rated,released,runtime,genre,director,awards,imdbrating,boxOffice,key
12 Angry Men,1997,PG-13,17 Aug 1997,117 min,"Crime, Drama",William Friedkin,Won 1 Golden Globe. Another 6 wins & 22 nominations.,7.8,N/A,12 Angry Men (1997)
12 Angry Men,1957,NOT RATED,01 Apr 1957,96 min,"Crime, Drama",Sidney Lumet,Nominated for 3 Oscars. Another 16 wins & 8 nominations.,8.9,N/A,12 Angry Men (1957)
13,2010,R,01 Mar 2010,91 min,"Drama, Thriller",Géla Babluani,1 win & 1 nomination.,6.1,N/A,13 (2010)
The 13th Letter,1951,N/A,21 Feb 1951,85 min,"Film-Noir, Mystery",Otto Preminger,N/A,6.6,N/A,The 13th Letter (1951)
101 Dalmatians,1996,G,27 Nov 1996,103 min,"Adventure, Comedy, Crime",Stephen Herek,Nominated for 1 Golden Globe. Another 3 wins & 9 nominations.,5.7,N/A,101 Dalmatians (1996)
2001 Maniacs,2005,R,13 Jul 2006,87 min,"Comedy, Horror",Tim Sullivan,1 nomination.,5.4,N/A,2001 Maniacs (2005)
Three Godfathers,1936,PASSED,06 Mar 1936,81 min,Western,Richard Boleslawski,N/A,7.3,N/A,Three Godfathers (1936)
3 Godfathers,1948,PASSED,13 Jan 1949,106 min,"Drama, Western",John Ford,N/A,7.2,N/A,3 Godfathers (1948)
3 Idiotas,2017,PG-13,02 Jun 2017,106 min,"Comedy, Family",Carlos Bolado,N/A,4.1,"$1,239,307",3 Idiotas (2017)
3:10 to Yuma,2007,R,07 Sep 2007,122 min,"Adventure, Crime, Drama",James Mangold,Nominated for 2 Oscars. Another 3 wins & 30 nominations.,7.7,"$53,574,088",3:10 to Yuma (2007)
A Southern Yankee,1948,NOT RATED,05 Aug 1948,90 min,"Comedy, History, War",Edward Sedgwick,N/A,6.8,N/A,A Southern Yankee (1948)
Adventures of Don Juan,1948,NOT RATED,01 Dec 1948,110 min,"Action, Adventure, Romance",Vincent Sherman,Won 1 Oscar. Another 1 win & 2 nominations.,7.0,N/A,Adventures of Don Juan (1948)
An Affair to Remember,1957,NOT RATED,25 Jul 1957,115 min,"Drama, Romance",Leo McCarey,Nominated for 4 Oscars. Another 2 wins & 2 nominations.,7.6,N/A,An Affair to Remember (1957)
Against All Odds,1984,R,02 Mar 1984,128 min,"Action, Adventure, Crime",Taylor Hackford,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,5.9,N/A,Against All Odds (1984)
Alfie,2004,R,05 Nov 2004,103 min,"Comedy, Drama, Romance",Charles Shyer,Won 1 Golden Globe. Another 6 wins & 7 nominations.,6.2,"$13,351,235",Alfie (2004)
Algiers,1938,UNRATED,05 Aug 1938,96 min,"Drama, Mystery, Romance",John Cromwell,Nominated for 4 Oscars. Another 1 win & 1 nomination.,6.9,N/A,Algiers (1938)
All Quiet on the Western Front,1979,NOT RATED,14 Nov 1979,150 min,"Drama, War",Delbert Mann,Won 1 Golden Globe. Another 1 win & 6 nominations.,7.1,N/A,All Quiet on the Western Front (1979)
Always,1989,PG,22 Dec 1989,122 min,"Fantasy, Romance",Steven Spielberg,3 nominations.,6.4,N/A,Always (1989)
The Amityville Horror,2005,R,15 Apr 2005,90 min,"Drama, Horror, Mystery",Andrew Douglas,2 wins & 4 nominations.,6.0,"$64,255,243",The Amityville Horror (2005)
And God Created Woman,1988,R,04 Mar 1988,100 min,"Comedy, Drama, Romance",Roger Vadim,1 nomination.,4.3,N/A,And God Created Woman (1988)
And Soon the Darkness,2010,R,11 Feb 2011,91 min,"Crime, Horror, Mystery",Marcos Efron,N/A,5.2,N/A,And Soon the Darkness (2010)
Angels in the Outfield,1994,PG,15 Jul 1994,102 min,"Comedy, Family, Fantasy",William Dear,1 win & 4 nominations.,6.1,N/A,Angels in the Outfield (1994)
Angel on My Shoulder,1980,N/A,11 May 1980,100 min,Fantasy,John Berry,N/A,6.6,N/A,Angel on My Shoulder (1980)
Annie,2014,PG,19 Dec 2014,118 min,"Comedy, Drama, Family",Will Gluck,Nominated for 2 Golden Globes. Another 3 wins & 13 nominations.,5.3,"$58,614,089",Annie (2014)
Annavaram,2006,N/A,29 Dec 2006,N/A,"Action, Drama, Romance","Srinivasa Rao Bhimaneni, Gridhar, Sippy",N/A,4.9,N/A,Annavaram (2006)
Another Fine Mess,1930,N/A,29 Nov 1930,28 min,"Comedy, Short",James Parrott,N/A,7.5,N/A,Another Fine Mess (1930)
Another Part of the Forest,1972,N/A,02 Oct 1972,150 min,Drama,Daniel Mann,N/A,7.7,N/A,Another Part of the Forest (1972)
Anthropophagous 2000,1999,N/A,09 Apr 1999,80 min,"Horror, Thriller",Andreas Schnaas,N/A,3.7,N/A,Anthropophagous 2000 (1999)
Applause,1973,N/A,15 Mar 1973,100 min,"Comedy, Musical","Ron Field, Bill Foster",N/A,7.8,N/A,Applause (1973)
April Fool's Day,2008,UNRATED,25 Mar 2008,91 min,Horror,"Mitchell Altieri, Phil Flores",N/A,3.7,N/A,April Fool's Day (2008)
Rajmohol,2005,N/A,N/A,N/A,"Drama, Thriller",Swapan Saha,N/A,6.3,N/A,Rajmohol (2005)
Chandramukhi,2005,N/A,13 Apr 2005,166 min,"Action, Comedy, Fantasy",P. Vasu,6 wins.,7.0,N/A,Chandramukhi (2005)
Around the World in 80 Days,1956,PASSED,17 Oct 1956,175 min,"Adventure, Comedy, Family","Michael Anderson, John Farrow",Won 5 Oscars. Another 8 wins & 5 nominations.,6.8,N/A,Around the World in 80 Days (1956)
Around the World in 80 Days,2004,PG,16 Jun 2004,120 min,"Action, Adventure, Comedy",Frank Coraci,2 wins & 2 nominations.,5.8,N/A,Around the World in 80 Days (2004)
The Arena,2001,R,28 Aug 2001,92 min,"Adventure, Drama, Action",Timur Bekmambetov,1 nomination.,2.7,N/A,The Arena (2001)
Arthur,2011,PG-13,08 Apr 2011,110 min,"Comedy, Romance",Jason Winer,3 wins & 6 nominations.,5.7,"$29,200,000",Arthur (2011)
Assault on Precinct 13,2005,R,19 Jan 2005,109 min,"Action, Crime, Drama",Jean-François Richet,1 win & 2 nominations.,6.3,"$19,976,073",Assault on Precinct 13 (2005)
Attack of the 50 Ft. Woman,1993,R,11 Dec 1993,90 min,"Comedy, Sci-Fi",Christopher Guest,1 nomination.,3.8,N/A,Attack of the 50 Ft. Woman (1993)
The Bachelor,1999,PG-13,05 Nov 1999,101 min,Comedy,Gary Sinyor,1 win & 2 nominations.,5.0,N/A,The Bachelor (1999)
Bachelor Mother,1939,APPROVED,04 Aug 1939,82 min,"Comedy, Romance",Garson Kanin,N/A,7.7,N/A,Bachelor Mother (1939)
Back Street,1941,APPROVED,07 Feb 1941,89 min,Drama,Robert Stevenson,N/A,7.0,N/A,Back Street (1941)
Back Street,1961,N/A,12 Oct 1961,107 min,Drama,David Miller,N/A,6.7,N/A,Back Street (1961)
Bad News Bears,2005,PG-13,22 Jul 2005,113 min,"Comedy, Sport",Richard Linklater,1 win & 4 nominations.,5.8,N/A,Bad News Bears (2005)
The Ballad of Narayama,1983,NOT RATED,29 Apr 1983,130 min,Drama,Shôhei Imamura,9 wins & 8 nominations.,7.9,N/A,The Ballad of Narayama (1983)
