"","key","value","oddOrEven","year"
"1",2,"Twelve Angry Men (1954) dir. Franklin Schaffner","even","1954"
"2",4,"13 Tzameti (2005) dir. Géla Babluani","even","2005"
"3",6,"Jûsan-nin no shikaku (1963) dir. Eiichi Kudo","even","1963"
"4",8,"Le Corbeau (1943) dir. Henri-Georges Clouzot","even","1943"
"5",10,"One Hundred and One Dalmatians (1961) dir. Clyde Geronimi
Based on the novel by Dodie Smith","even","1961"
"6",12,"Two Thousand Maniacs! (1964) dir. Herschell Gordon Lewis","even","1964"
"7",14,"Hell's Heroes (1930) dir. William Wyler","even","1930"
"8",16,"3 Idiots (2009) dir. Rajkumar Hirani","even","2009"
"9",18,"3:10 to Yuma (1957) dir. Delmer Daves","even","1957"
"10",20,"1984 (1956) dir. Michael AndersonNineteen Eighty-Four (1954) dir. Rudolph Cartier1984 (1953) dir. Paul Nickell","even","1956"
"11",22,"The General (1926) dir. Buster Keaton & Clyde Bruckman","even","1926"
"12",24,"Don Juan (1926) dir. Alan Crosland","even","1926"
"13",26,"Love Affair (1939) dir. Leo McCarey","even","1939"
"14",28,"Out of the Past (1947) dir. Jacques Tourneur","even","1947"
"15",30,"Alfie (1966) dir. Lewis Gilbert","even","1966"
"16",32,"Pépé le Moko (1937) dir. Julien Duvivier","even","1937"
"17",34,"All Quiet on the Western Front (1930) dir. Lewis Milestone","even","1930"
"18",36,"A Guy Named Joe (1943) dir. Victor Fleming","even","1943"
"19",38,"The Amityville Horror (1979) dir. Stuart Rosenberg
Based on the novel by Jay Anson","even","1979"
"20",40,"Et Dieu... créa la femme (1956) dir. Roger Vadim","even","1956"
"21",42,"And Soon the Darkness (1970) dir. Robert Fuest","even","1970"
"22",44,"Angels in the Outfield (1951) dir. Clarence Brown","even","1951"
"23",46,"Angel on My Shoulder (1946) dir. Archie Mayo","even","1946"
"24",48,"Annie (1982) dir. John Huston
Both based on the Thomas Meehan/Charles Strouse/Martin Charnin musical, which in turn came from the comic strip Little Orphan Annie, by Harold Gray","even","1982"
"25",50,"Thirupaachi (2005) dir. Perarasu","even","2005"
"26",52,"Duck Soup (1927) dir. Fred Guiol","even","1927"
"27",54,"Another Part of the Forest (1948) dir. Michael Gordon","even","1948"
"28",56,"Antropophagus (1980) dir. Joe D'Amato","even","1980"
"29",58,"All About Eve (1950) dir. Joseph L. Mankiewicz","even","1950"
"30",60,"April Fool's Day (1986) dir. Fred Walton","even","1986"
"31",62,"Manichitrathazhu (1993) dir. Fazil","even","1993"
"32",64,"Around the World in Eighty Days (1919) dir. Richard Oswald","even","1919"
"33",66,"The Arena (1974) dir. Steve Carver","even","1974"
"34",68,"Arthur (1981) dir. Steve Gordon","even","1981"
"35",70,"Assault on Precinct 13 (1976) dir. John Carpenter","even","1976"
"36",72,"Attack of the 50 Foot Woman (1958) dir. Nathan H. Juran","even","1958"
"37",74,"Seven Chances (1925) dir. Buster Keaton","even","1925"
"38",76,"Little Mother (1935) dir. Henry Koster","even","1935"
"39",78,"Back Street (1932) dir. John M. Stahl","even","1932"
"40",80,"The Bad News Bears (1976) dir. Michael Ritchie","even","1976"
"41",82,"The Ballad of Narayama (1958) dir. Keisuke Kinoshita","even","1958"
"42",84,"The Bad Seed (1956) dir. Mervyn LeRoy","even","1956"
"43",86,"Bangkok Dangerous (1999) dir. The Pang Brothers","even","1999"
"44",88,"Casablanca (1942) dir. Michael Curtiz","even","1942"
"45",90,"Shichinin no samurai (1954) dir. Akira Kurosawa","even","1954"
"46",92,"The Battle of the Sexes (1914) dir. D. W. Griffith","even","1914"
"47",94,"Fingers (1978) dir. James Toback","even","1978"
"48",96,"Beau Geste (1926) dir. Herbert Brenon
Based on the book by P. C. Wren","even","1926"
"49",98,"Beauty and the Beast (1991) dir. Gary Trousdale & Kirk Wise","even","1991"
"50",100,"Bedazzled (1967) dir. Stanley Donen","even","1967"
"51",102,"The Beguiled (1971) dir. Don Siegel
Based on the novel A Painted Devil by Thomas P. Cullinan","even","1971"
"52",104,"Adorable Julia (1964) dir. Alfred Weidenmann","even","1964"
"53",106,"Ben-Hur (1925) dir. Fred Niblo","even","1925"
"54",108,"Beongeoli Sam-ryong (1929) dir. Na Woon-gyu","even","1929"
"55",110,"Outward Bound (1930) dir. Robert Milton","even","1930"
"56",112,"A Precocious Girl (1934) dir. Max Neufeld and Richard Eichberg","even","1934"
"57",114,"Beyond a Reasonable Doubt (1956) dir. Fritz Lang","even","1956"
"58",116,"House of Strangers (1949) dir. Joseph L. Mankiewicz","even","1949"
"59",118,"Land Beyond the Law (1927) dir. Harry Joe Brown","even","1927"
"60",120,"Washington Merry-Go-Round (1932) dir. James Cruze","even","1932"
"61",122,"La Cage aux Folles (1978) dir. Édouard Molinaro","even","1978"
"62",124,"Little Caesar (1931) dir. Mervyn LeRoy","even","1931"
"63",126,"Black Christmas (1974) dir. Bob Clark","even","1974"
"64",128,"Un moment d'egarement (1977) dir. Claude Berri","even","1977"
"65",130,"The Blob (1958) dir. Irvin S. Yeaworth Jr.","even","1958"
"66",132,"Blood Feast (1963) dir. Herschell Gordon Lewis","even","1963"
"67",134,"The Blue Angel (1930) dir. Josef von Sternberg","even","1930"
"68",136,"The Blue Bird (1918) dir. Maurice Tourneur","even","1918"
"69",138,"Teacher's Pet (1930) dir. Robert F. McGowan","even","1930"
"70",140,"Born Yesterday (1950) dir. George Cukor
Based on the play by Garson Kanin","even","1950"
"71",142,"Boudu Saved from Drowning (1932) dir. Jean Renoir","even","1932"
"72",144,"The Window (1949) dir. Ted Tetzlaff
Based on The Boy Cried Murder by Cornell Woolrich","even","1949"
"73",146,"Breathless (1960) dir. Jean-Luc Godard","even","1960"
"74",148,"Brewster's Millions (1945) dir. Allan Dwan","even","1945"
"75",150,"Bride Wars (2009) dir. Gary Winick","even","2009"
"76",152,"Brian's Song (1971) dir. Buzz Kulik","even","1971"
"77",154,"Brødre (2004) dir. Susanne Bier","even","2004"
"78",156,"A Bucket of Blood (1959) dir. Roger Corman","even","1959"
"79",158,"L'Emmerdeur (1973) dir. Edouard Molinaro","even","1973"
"80",160,"The Buccaneer (1938) dir. Cecil B. DeMille","even","1938"
"81",162,"Bachelor Mother (1939) dir. Garson Kanin","even","1939"
"82",164,"The Burmese Harp (1956) dir. Kon Ichikawa","even","1956"
"83",166,"Cabin Fever (2002) dir. Eli Roth","even","2002"
"84",168,"The Cabinet of Dr. Caligari (1920) dir. Robert Wiene","even","1920"
"85",170,"Cape Fear (1962) dir. J. Lee Thompson
Based on the novel The Executioners by John D. MacDonald","even","1962"
"86",172,"The Captain's Table (1959) dir. Jack Lee
Based on a novel by Richard Gordon","even","1959"
"87",174,"Carnival of Souls (1962) dir. Herk Harvey","even","1962"
"88",176,"Carrie (1976) dir. Brian De Palma
Based on the novel by Stephen King","even","1976"
"89",178,"The Cat and the Canary (1927) dir. Paul Leni","even","1927"
"90",180,"Cat People (1942) dir. Jacques Tourneur","even","1942"
"91",182,"Klatretøsen (2002) dir. Hans Fabian","even","2002"
"92",184,"Liliom (1930) dir Frank Borzage","even","1930"
"93",186,"The Champ (1931) dir. King Vidor","even","1931"
"94",188,"Cheaper by the Dozen (1950)","even","1950"
"95",190,"Love 'em and Weep (1927) dir. Fred Guiol","even","1927"
"96",192,"These Three (1936) dir. William Wyler
Based on the 1934 play The Children's Hour, by Lillian Hellman","even","1936"
"97",194,"Scrooge (1935) dir. Henry Edwards","even","1935"
"98",196,"Nathalie... (2004) dir. Anne Fontaine","even","2004"
"99",198,"Cinderella (1950)","even","1950"
"100",200,"Der Himmel über Berlin or Wings of Desire (1987) dir. Wim Wenders","even","1987"
"101",202,"Clash of the Titans (1981) dir. Desmond Davis","even","1981"
"102",204,"Classmates (2006) dir. Lal Jose","even","2006"
"103",206,"The Window (1949) dir. Ted Tetzlaff
Based on The Boy Cried Murder by Cornell Woolrich","even","1949"
"104",208,"High Sierra (1941) dir. Raoul Walsh","even","1941"
"105",210,"The Computer Wore Tennis Shoes (1969) dir. Robert Butler","even","1969"
"106",212,"Mazurka (1935) dir. Willi Forst","even","1935"
"107",214,"The Grocery Clerk (1919) dir. Larry Semon","even","1919"
"108",216,"Cousin, cousine (1975) dir. Jean-Charles Tacchella","even","1975"
"109",218,"Big Deal on Madonna Street (1958) dir. Mario Monicelli","even","1958"
"110",220,"The Crazies (1973) dir. George A. Romero","even","1973"
"111",222,"The Mayor of Hell (1933) dir. Archie Mayo & Michael Curtiz","even","1933"
"112",224,"Nueve reinas (2000) dir. Fabián Bielinsky","even","2000"
"113",226,"D.O.A. (1950) dir. Rudolph Maté","even","1950"
"114",228,"Dante's Inferno (1924) dir. Henry Otto","even","1924"
"115",230,"The Dark Mirror (1946) dir. Robert Siodmak","even","1946"
"116",232,"Dark Victory (1939) dir. Edmund Goulding
Based on the play by George Emerson Brewer Jr. and Bertram Bloch","even","1939"
"117",234,"Dark Water (2002) dir. Hideo Nakata","even","2002"
"118",236,"Dawn of the Dead (1978) dir. George A. Romero","even","1978"
"119",238,"The Dawn Patrol (1930) dir. Howard Hawks","even","1930"
"120",240,"Day of the Dead (1985) dir. George A. Romero","even","1985"
"121",242,"The Day the Earth Stood Still (1951) dir. Robert Wise","even","1951"
"122",244,"My Name Is Julia Ross (1945) dir. Joseph H. Lewis","even","1945"
"123",246,"Death at a Funeral (2007) dir. Frank Oz","even","2007"
"124",248,"Death Race 2000 (1975) dir. Paul Bartel","even","1975"
"125",250,"Death Wish (1974) dir. Michael Winner","even","1974"
"126",252,"The Debt (2007) dir. Assaf Bernstein","even","2007"
"127",254,"The Defiant Ones (1958) dir. Stanley Kramer","even","1958"
"128",256,"Infernal Affairs (2002) dir. Wai Keung Lau & Siu Fai Mak","even","2002"
"129",258,"Happy Days in Aranjuez (1933) dir. Johannes Meyer","even","1933"
"130",260,"The Desperate Hours (1955) dir. William Wyler
Based on the novel and play by Joseph Hayes","even","1955"
"131",262,"Destry Rides Again (1932) dir. Benjamin Stoloff","even","1932"
"132",264,"Le Deuxième Souffle (1966) dir. Jean-Pierre Melville","even","1966"
