"","key","value","oddOrEven","year"
"1",1,"12 Angry Men (1997) dir. William Friedkin12 Angry Men (1957) dir. Sidney Lumet","odd","1997"
"2",3,"13 (2010) dir. Géla Babluani","odd","2010"
"3",5,"13 Assassins (2011) dir. Takashi Miike","odd","2011"
"4",7,"The 13th Letter (1951) dir. Otto Preminger","odd","1951"
"5",9,"101 Dalmatians (1996) dir. Stephen Herek","odd","1996"
"6",11,"2001 Maniacs (2005) dir. Tim Sullivan","odd","2005"
"7",13,"3 Godfathers (1948) dir. John FordThree Godfathers (1936) dir. Richard Boleslawski","odd","1948"
"8",15,"3 Idiotas (2017) dir. Carlos Bolado","odd","2017"
"9",17,"3:10 to Yuma (2007) dir. James Mangold","odd","2007"
"10",19,"Nineteen Eighty-Four (1984) dir. Michael Radford","odd","1984"
"11",21,"A Southern Yankee (1948) dir. Edward Sedgwick","odd","1948"
"12",23,"Adventures of Don Juan (1948) dir. Vincent Sherman","odd","1948"
"13",25,"An Affair to Remember (1957) dir. Leo McCarey","odd","1957"
"14",27,"Against All Odds (1984) dir. Taylor Hackford","odd","1984"
"15",29,"Alfie (2004) dir. Charles Shyer","odd","2004"
"16",31,"Algiers (1938) dir. John Cromwell","odd","1938"
"17",33,"All Quiet on the Western Front (1979) dir. Delbert Mann","odd","1979"
"18",35,"Always (1989) dir. Steven Spielberg","odd","1989"
"19",37,"The Amityville Horror (2005) dir. Andrew Douglas","odd","2005"
"20",39,"And God Created Woman (1988) dir. Roger Vadim","odd","1988"
"21",41,"And Soon the Darkness (2010) dir. Marcos Efron","odd","2010"
"22",43,"Angels in the Outfield (1994) dir. William Dear","odd","1994"
"23",45,"Angel on My Shoulder (1980) dir. John Berry","odd","1980"
"24",47,"Annie (2014) dir. Will GluckAnnie (1999) dir. Rob Marshall","odd","2014"
"25",49,"Annavaram (2006) dir. Bhimaneni Srinivas Rao","odd","2006"
"26",51,"Another Fine Mess (1930) dir. James Parrott","odd","1930"
"27",53,"Another Part of the Forest (1972) dir. Daniel Mann","odd","1972"
"28",55,"Anthropophagous 2000 (1999) dir. Andreas Schnaas","odd","1999"
"29",57,"Applause (1973) dir. Ron Field & Bill Foster","odd","1973"
"30",59,"April Fool's Day (2008) dir. Mitchell Altieri & Phil Flores","odd","2008"
"31",61,"Apthamitra (2004) dir. P. VasuChandramukhi (2005) dir. P. VasuRajmohol (2005) dir. Swapan SahaBhool Bhulaiyaa (2008) dir. Priyadarshan","odd","2004"
"32",63,"Around the World in 80 Days (2004) dir. Frank CoraciAround the World in 80 Days (1956) dir. Michael Anderson","odd","2004"
"33",65,"The Arena (2001) dir. Timur Bekmambetov","odd","2001"
"34",67,"Arthur (2011) dir. Jason Winer","odd","2011"
"35",69,"Assault on Precinct 13 (2005) dir. Jean-François Richet","odd","2005"
"36",71,"Attack of the 50 Ft. Woman (1993) dir. Christopher Guest","odd","1993"
"37",73,"The Bachelor (1999) dir. Gary Sinyor","odd","1999"
"38",75,"Bachelor Mother (1939) dir. Garson Kanin","odd","1939"
"39",77,"Back Street (1961) dir. David MillerBack Street (1941) dir. Robert Stevenson","odd","1961"
"40",79,"Bad News Bears (2005) dir. Richard Linklater","odd","2005"
"41",81,"The Ballad of Narayama (1983) dir. Shohei Imamura","odd","1983"
"42",83,"The Bad Seed (1985) dir. Paul Wendkos","odd","1985"
"43",85,"Bangkok Dangerous (2008) dir. The Pang Brothers","odd","2008"
"44",87,"Barb Wire (1996) dir. David HoganA Night in Casablanca (1946) dir. Archie Mayo","odd","1996"
"45",89,"The Magnificent Seven (2016) dir. Antoine FuquaBattle Beyond the Stars (1980) dir. Jimmy T. MurakamiThe Magnificent Seven (1960) John Sturges","odd","2016"
"46",91,"The Battle of the Sexes (1928) dir. D. W. Griffith","odd","1928"
"47",93,"The Beat that My Heart Skipped (2005) dir. Jacques Audiard","odd","2005"
"48",95,"Beau Geste (1939) dir. William A. WellmanBeau Geste (1966) dir. Douglas HeyesThe Last Remake Of Beau Geste (1977) dir. Marty Feldman","odd","1939"
"49",97,"Beauty and the Beast (2017) dir. Bill Condon","odd","2017"
"50",99,"Bedazzled (2000) dir. Harold Ramis","odd","2000"
"51",101,"The Beguiled (2017) dir. Sofia Coppola","odd","2017"
"52",103,"Being Julia (2004) dir. István Szabó","odd","2004"
"53",105,"Ben-Hur (2016) dir. Timur BekmambetovBen-Hur (1959) dir. William Wyler","odd","2016"
"54",107,"Beongeoli Sam-ryong (1964) dir. Shin Sang-ok","odd","1964"
"55",109,"Between Two Worlds (1944) dir. Edward A. Blatt","odd","1944"
"56",111,"Between Us Girls (1942) dir. Henry Koster Frutto acerbo (1934) dir. Carlo Ludovico Bragaglia","odd","1942"
"57",113,"Beyond a Reasonable Doubt (2009) dir. Peter Hyams","odd","2009"
"58",115,"The Big Show (1961) dir. James B. ClarkBroken Lance (1954) dir. Edward Dmytryk","odd","1961"
"59",117,"The Big Stampede (1932) dir. Tenny Wright","odd","1932"
"60",119,"Billy Jack Goes to Washington (1977) dir. Tom LaughlinMr. Smith Goes to Washington (1939) dir. Frank Capra","odd","1977"
"61",121,"The Birdcage (1996) dir. Mike Nichols","odd","1996"
"62",123,"Black Caesar (1973) dir. Larry Cohen","odd","1973"
"63",125,"Black Christmas (2006) dir. Glen Morgan","odd","2006"
"64",127,"Blame it on Rio (1984) dir. Stanley Donen","odd","1984"
"65",129,"The Blob (1988) dir. Chuck Russell","odd","1988"
"66",131,"Blood Diner (1987) dir. Jackie Kong","odd","1987"
"67",133,"The Blue Angel (1959) dir. Edward Dmytryk","odd","1959"
"68",135,"The Blue Bird (1976) dir. George CukorThe Blue Bird (1940) dir. Walter Lang","odd","1976"
"69",137,"Bored of Education (1936) dir. Gordon Douglas","odd","1936"
"70",139,"Born Yesterday (1993) dir. Luis Mandoki","odd","1993"
"71",141,"Boudu (2005) dir. Gérard Jugnot","odd","2005"
"72",143,"The Boy Cried Murder (1966) dir. George P. Breakston","odd","1966"
"73",145,"Breathless (1983) dir. Jim McBride","odd","1983"
"74",147,"Brewster's Millions (1985) dir. Walter HillThree on a Spree (1961) Sidney J. Furie","odd","1985"
"75",149,"Bride Wars (2015) dir. Tony Chan","odd","2015"
"76",151,"Brian's Song (2001) dir. John Gray","odd","2001"
"77",153,"Brothers (2009) dir. Jim Sheridan","odd","2009"
"78",155,"A Bucket of Blood (1995) dir. Michael McDonald","odd","1995"
"79",157,"Buddy Buddy (1981) dir. Billy Wilder","odd","1981"
"80",159,"The Buccaneer (1958) dir. Anthony Quinn","odd","1958"
"81",161,"Bundle of Joy (1956) dir. Norman Taurog","odd","1956"
"82",163,"The Burmese Harp (1985) dir. Kon Ichikawa","odd","1985"
"83",165,"Cabin Fever (2016) dir. Travis Zariwny","odd","2016"
"84",167,"The Cabinet of Dr. Caligari (2005) dir. David Lee Fisher","odd","2005"
"85",169,"Cape Fear (1991) dir. Martin Scorsese","odd","1991"
"86",171,"The Captain (1971) dir. Kurt Hoffmann","odd","1971"
"87",173,"Carnival of Souls (1998) dir. Adam Grossman & Ian Kessner","odd","1998"
"88",175,"Carrie (2013) dir. Kimberly PeirceCarrie (2002) dir. David Carson","odd","2013"
"89",177,"The Cat and the Canary (1939) dir. Elliott NugentThe Cat Creeps (1930) dir. Rupert Julian","odd","1939"
"90",179,"Cat People (1982) dir. Paul Schrader","odd","1982"
"91",181,"Catch That Kid (2004) dir. Bart Freundlich","odd","2004"
"92",183,"Carousel (1956) dir. Henry KingLiliom (1934) dir. Fritz Lang","odd","1956"
"93",185,"The Champ (1979) dir. Franco Zeffirelli","odd","1979"
"94",187,"Cheaper by the Dozen (2003)","odd","2003"
"95",189,"Chickens Come Home (1931) dir. Hal Roach","odd","1931"
"96",191,"The Children's Hour (1961) dir. William Wyler","odd","1961"
"97",193,"A Christmas Carol (2009) dir. Robert ZemeckisA Christmas Carol (1999) dir. David JonesA Christmas Carol (1984) dir. Clive DonnerScrooge (1951) dir. Brian Desmond HurstA Christmas Carol (1938) dir. Edwin L. Marin","odd","2009"
"98",195,"Chloe (2009) dir. Atom Egoyan","odd","2009"
"99",197,"Cinderella (2015)","odd","2015"
"100",199,"City of Angels (1998) dir. Brad Silberling","odd","1998"
"101",201,"Clash of the Titans (2010) dir. Louis Leterrier","odd","2010"
"102",203,"Classmates (2007) dir. K. Vijaya Bhaskar","odd","2007"
"103",205,"Cloak & Dagger (1984) dir. Richard FranklinThe Boy Cried Murder (1966) dir. George P. Breakston","odd","1984"
"104",207,"Colorado Territory (1949) dir. Raoul Walsh","odd","1949"
"105",209,"The Computer Wore Tennis Shoes (1995) dir. Peyton Reed","odd","1995"
"106",211,"Confession (1937) dir. Joe May","odd","1937"
"107",213,"The Counter Jumper (1922) dir. Larry Semon","odd","1922"
"108",215,"Cousins (1989) dir. Joel Schumacher","odd","1989"
"109",217,"Crackers (1984) dir. Louis Malle","odd","1984"
"110",219,"The Crazies (2010) dir. Breck Eisner","odd","2010"
"111",221,"Crime School (1938) dir. Lewis Seiler","odd","1938"
"112",223,"Criminal (2004) dir. Gregory Jacobs","odd","2004"
"113",225,"D.O.A. (1988) dir. Annabel Jankel & Rocky Morton","odd","1988"
"114",227,"Dante's Inferno (1935) dir. Harry Lachman","odd","1935"
"115",229,"The Dark Mirror (1984) dir. Richard Lang","odd","1984"
"116",231,"Dark Victory (1976) dir. Robert ButlerStolen Hours (1963) dir. Daniel Petrie","odd","1976"
"117",233,"Dark Water (2005) dir. Walter Salles","odd","2005"
"118",235,"Dawn of the Dead (2004) dir. Zack Snyder","odd","2004"
"119",237,"The Dawn Patrol (1938) dir. Edmund Goulding","odd","1938"
"120",239,"Day of the Dead (2008) dir. Steve Miner","odd","2008"
"121",241,"The Day the Earth Stood Still (2008) dir. Scott Derrickson","odd","2008"
"122",243,"Dead of Winter (1987) dir. Arthur Penn","odd","1987"
"123",245,"Death at a Funeral (2010) dir. Neil LaBute","odd","2010"
"124",247,"Death Race (2008) dir. Paul W.S. Anderson","odd","2008"
"125",249,"Death Wish (2017) dir. Eli Roth","odd","2017"
"126",251,"The Debt (2011) dir. John Madden","odd","2011"
"127",253,"The Defiant Ones (1986) dir. David Lowell Rich","odd","1986"
"128",255,"The Departed (2006) dir. Martin Scorsese","odd","2006"
"129",257,"Desire (1936) dir. Frank Borzage","odd","1936"
"130",259,"Desperate Hours (1990) dir. Michael Cimino","odd","1990"
"131",261,"Destry (1954) dir. George MarshallDestry Rides Again (1939) dir. George Marshall","odd","1954"
"132",263,"Le Deuxième Souffle (2007) dir. Alain Corneau","odd","2007"
"133",265,"Diabolique (1996) dir. Jeremiah S. Chechik","odd","1996"
"134",267,"Diamond Horseshoe (1945) dir. George Seaton","odd","1945"
"135",269,"Die Rothschilds (1940) dir. Erich Waschneck","odd","1940"
"136",271,"Dirty Rotten Scoundrels (1988) dir. Frank Oz","odd","1988"
"137",273,"Dr. Jekyll and Mr. Hyde (1941) dir. Victor Fleming","odd","1941"
"138",275,"Dr. M (1990) dir. Claude Chabrol","odd","1990"
"139",277,"Billa (2009) dir. Meher RameshBilla (2007) dir. VishnuvardhanDon (2006) dir. Farhan AkhtarSobharaj (1986) dir. SasikumarBilla (1980) dir. R. KrishnamurthyYugandhar (1979) dir. K. S. R. Das","odd","2009"
"140",279,"A Dog of Flanders (1999) dir. Kevin Brodie","odd","1999"
"141",281,"Dorian Gray (2009) dir. Oliver Parker","odd","2009"
"142",283,"Down (2001) dir. Dick Maas","odd","2001"
"143",285,"Down and Out in Beverly Hills (1986) dir. Paul Mazursky","odd","1986"
"144",287,"Down to Earth (2001) dir. Chris Weitz & Paul WeitzHeaven Can Wait (1978) dir. Warren Beatty & Buck Henry","odd","2001"
"145",289,"Dreaming Lips (1937) dir. Paul Czinner","odd","1937"
"146",291,"Dumbo (2019) dir. Tim Burton","odd","2019"
"147",293,"The Echo (2008) dir. Yam Laranas","odd","2008"
"148",295,"EDtv (1999) dir. Ron Howard","odd","1999"
"149",297,"È già ieri (2004) dir. Giulio Manfredonia","odd","2004"
"150",299,"Ellam Avan Seyal (2008) dir. Shaji KailasSri Mahalakshmi (2007) dir. Vijayan","odd","2008"
"151",301,"Endless Love (2014) dir. Shana Feste","odd","2014"
"152",303,"Escapade (1935) dir. Robert Z. Leonard","odd","1935"
"153",305,"Evil Dead (2013) dir. Fede Alvarez","odd","2013"
"154",307,"The Eye (2008) dir. David Moreau & Xavier Palud","odd","2008"
"155",309,"Excursion to the Moon (1908) dir. Segundo de Chomón","odd","1908"
"156",311,"Exodus: Gods and Kings (2016) dir. Ridley ScottThe Ten Commandments (1956) dir. Cecil B. Demille","odd","2016"
"157",313,"The Experiment (2010) dir. Paul Scheuring","odd","2010"
"158",315,"Fame (2009) dir. Kevin Tancharoen","odd","2009"
"159",317,"Fatal Attraction (1987) dir. Adrian Lyne","odd","1987"
"160",319,"Father of the Bride (1991) dir. Charles Shyer","odd","1991"
"161",321,"Fathers' Day (1997) dir. Ivan Reitman","odd","1997"
"162",323,"FC Venus (2006) dir. Ute Wieland","odd","2006"
"163",325,"The Fiend Who Walked the West (1958) dir. Gordon Douglas","odd","1958"
"164",327,"The Firm (2009) dir. Nick Love","odd","2009"
"165",329,"A Fistful of Dollars/Per un pugno di dollari (1964) dir. Sergio Leone","odd","1964"
"166",331,"Los que volvieron (1948) dir. Alejandro GalindoBack from Eternity (1956) dir. John Farrow","odd","1948"
"167",333,"Flatliners (2017) dir. Niels Arden Oplev","odd","2017"
"168",335,"Fled (1996) dir. Kevin HooksThe Defiant Ones (1986) dir. David Lowell Rich","odd","1996"
"169",337,"Flight of the Phoenix (2004) dir. John Moore","odd","2004"
"170",339,"Flipper (1996) dir. Alan Shapiro","odd","1996"
"171",341,"Floating Weeds (1959) dir. Yasujirō Ozu","odd","1959"
"172",343,"Flubber (1997) dir. Les Mayfield","odd","1997"
"173",345,"The Fly (1986) dir. David Cronenberg","odd","1986"
"174",347,"The Fog (2005) dir. Rupert Wainwright","odd","2005"
"175",349,"Footloose (2011) dir. Craig Brewer","odd","2011"
"176",351,"Forbidden Fruit (1921) dir. Cecil B. DeMille","odd","1921"
"177",353,"Four Sons (1940) dir. Archie Mayo","odd","1940"
"178",355,"Freaky Friday (2003) dir. Mark WatersFreaky Friday (1995) dir. Melanie Mayron","odd","2003"
"179",357,"Free State of Jones (2016) dir. Gary Ross","odd","2016"
"180",359,"Friday the 13th (2009) dir. Marcus Nispel","odd","2009"
"181",361,"Fright Night (2011) dir. Craig Gillespie","odd","2011"
"182",363,"The Front Page (1974) dir. Billy Wilder","odd","1974"
"183",365,"Fun with Dick and Jane (2005) dir. Dean Parisot","odd","2005"
"184",367,"Funny Games (2008) dir. Michael Haneke","odd","2008"
"185",369,"Gaby (1956) dir. Curtis BernhardtWaterloo Bridge (1940) dir. Mervyn LeRoy","odd","1956"
"186",371,"Gambit (2012) dir. Michael Hoffman","odd","2012"
"187",373,"The Gambler (2014) dir. Rupert Wyatt","odd","2014"
"188",375,"Gaslight (1944) dir. George Cukor","odd","1944"
"189",377,"Get Carter (2000) dir. Stephen Kay","odd","2000"
"190",379,"The Girl Downstairs (1938) dir. Norman Taurog","odd","1938"
"191",381,"Gharshana (2004) dir. Gautham Menon","odd","2004"
"192",383,"Ghostbusters (2016) dir. Paul Feig","odd","2016"
"193",385,"Ghost Theater (2015) dir. Hideo Nakata","odd","2015"
"194",387,"Gloria (1999) dir. Sidney Lumet","odd","1999"
"195",389,"Godzilla (2014) dir. Gareth EdwardsGodzilla (1998) dir. Roland Emmerich","odd","2014"
"196",391,"Going in Style (2017) dir. Zach Braff","odd","2017"
"197",393,"Gone in 60 Seconds (2000) dir. Dominic Sena","odd","2000"
"198",395,"The Goodbye Girl (2004) dir. Richard Benjamin","odd","2004"
"199",397,"The Good Companions (1957) dir. J. Lee Thompson","odd","1957"
"200",399,"Good Morning (1959) dir. Yasujirō Ozu","odd","1959"
"201",401,"The Good Thief (2002) dir. Neil Jordan","odd","2002"
"202",403,"Gordon of Ghost City (1933) dir. Ray Taylor","odd","1933"
